"name","image","price","location","review","url"
"OSS Backpackers Hostel","https://t-cf.bstatic.com/xdata/images/hotel/square200/220444929.webp?k=757a83b19fcde7ab3c7d3b7d38c2c1ccb0bced528f1498d244ddcfc5707eb102&o=&s=1","S$ 123","Lavender, Singapore","7.9","https://www.booking.com/hotel/sg/oss-backpackers-hostel-lavender.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=211&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=427005307_128961036_0_0_0&highlighted_blocks=427005307_128961036_0_0_0&matching_block_id=427005307_128961036_0_0_0&sr_pri_blocks=427005307_128961036_0_0_0__12271&from=searchresults#hotelTmpl"
"Sandpiper Hotel (SG Clean, Staycation Approved)","https://t-cf.bstatic.com/xdata/images/hotel/square200/25103932.webp?k=8b4f66122795a52aef6f8468eadcba0ecd57f871d0fda8f725a928b8f3e16de8&o=&s=1","S$ 195","Little India, Singapore","5.8","https://www.booking.com/hotel/sg/sandpiper.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=212&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=71318708_347625351_0_0_0&highlighted_blocks=71318708_347625351_0_0_0&matching_block_id=71318708_347625351_0_0_0&sr_pri_blocks=71318708_347625351_0_0_0__19491&from=searchresults#hotelTmpl"
"ZEN Rooms Geylang","https://t-cf.bstatic.com/xdata/images/hotel/square200/92309866.webp?k=129f9bf132312271d0e48f2605deb26980c6efa70679732b46d8a7887473cc86&o=&s=1","S$ 65","Geylang, Singapore","6.9","https://www.booking.com/hotel/sg/zenrooms-geylang.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=213&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=176408901_90789593_0_0_0&highlighted_blocks=176408901_90789593_0_0_0&matching_block_id=176408901_90789593_0_0_0&sr_pri_blocks=176408901_90789593_0_0_0__6465&from=searchresults#hotelTmpl"
"ST Signature Jalan Besar (7 hours: 9AM-4PM)","https://t-cf.bstatic.com/xdata/images/hotel/square200/313009594.webp?k=54b6f6340c976cd7a0de5a26d498baa2c002009d53c1b69d519decf434060ae9&o=&s=1","S$ 117","Little India, Singapore","7.1","https://www.booking.com/hotel/sg/st-signature-jalan-besar-7-hours-9am-4pm.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=214&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=761744901_333310507_0_0_0&highlighted_blocks=761744901_333310507_0_0_0&matching_block_id=761744901_333310507_0_0_0&sr_pri_blocks=761744901_333310507_0_0_0__11683&from=searchresults#hotelTmpl"
"ZEN Rooms Bukit Merah","https://t-cf.bstatic.com/xdata/images/hotel/square200/67561290.webp?k=3b7a73f4f7d3370d03c2c0f6981a55341518692564dba4f6da6581334154522a&o=&s=1","S$ 125","Bukit Merah, Singapore","5.7","https://www.booking.com/hotel/sg/zenrooms-bukit-merah.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=215&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=173947401_90520302_0_0_0&highlighted_blocks=173947401_90520302_0_0_0&matching_block_id=173947401_90520302_0_0_0&sr_pri_blocks=173947401_90520302_0_0_0__12453&from=searchresults#hotelTmpl"
"Lai Ming Hotel Cosmoland (SG Clean, Staycation Approved)","https://t-cf.bstatic.com/xdata/images/hotel/square200/267607103.webp?k=fefcf63fdb26a55424ad43b76812393ad2c9263926416644f919e0fbde81d11a&o=&s=1","S$ 69","Geylang, Singapore","5.5","https://www.booking.com/hotel/sg/lai-ming-cosmoland-li-ming-lu-dian.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=216&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=177787402_90999931_2_0_0&highlighted_blocks=177787402_90999931_2_0_0&matching_block_id=177787402_90999931_2_0_0&sr_pri_blocks=177787402_90999931_2_0_0__6891&from=searchresults#hotelTmpl"
"Q Loft Hotels@Geylang (SG Clean, Staycation Approved)","https://t-cf.bstatic.com/xdata/images/hotel/square200/250868673.webp?k=7d3a696b21946ab1434f8311ea026e8e9e061aa16fcfa6a38dd1814bdfe0abe5&o=&s=1","S$ 110","Geylang, Singapore","6.6","https://www.booking.com/hotel/sg/q-loft.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=217&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=416059202_129610802_0_0_0&highlighted_blocks=416059202_129610802_0_0_0&matching_block_id=416059202_129610802_0_0_0&sr_pri_blocks=416059202_129610802_0_0_0__10989&from_sustainable_property_sr=1&from=searchresults#hotelTmpl"
"Snooze Inn @Dunlop Street","https://t-cf.bstatic.com/xdata/images/hotel/square200/333623808.webp?k=ae55a6ed2ebe42f1d106d5a034920a98f6db5c1ac710927b1e6760843f7c306e&o=&s=1","S$ 114","Little India, Singapore","6.1","https://www.booking.com/hotel/sg/kawan-hostel.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=218&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=45147106_91929487_0_0_0&highlighted_blocks=45147106_91929487_0_0_0&matching_block_id=45147106_91929487_0_0_0&sr_pri_blocks=45147106_91929487_0_0_0__11396&from=searchresults#hotelTmpl"
"Hotel Clover 7 (SG Clean)","https://t-cf.bstatic.com/xdata/images/hotel/square200/68208597.webp?k=f7d44f95a1ceeb5653c0ca08ef1a4349e68152206b32e299bbf7a06ed0f0174c&o=&s=1","S$ 154","Boat Quay, Singapore","7.5","https://www.booking.com/hotel/sg/clover-7.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=219&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=175945803_90753926_0_0_0&highlighted_blocks=175945803_90753926_0_0_0&matching_block_id=175945803_90753926_0_0_0&sr_pri_blocks=175945803_90753926_0_0_0__15407&from=searchresults#hotelTmpl"
"ST Signature Bugis Beach [5 Hours, 9AM-2PM] (SG Clean, Staycation Approved)","https://t-cf.bstatic.com/xdata/images/hotel/square200/253276995.webp?k=8e478f85b6487fdfc026809454f3efe1ecc069770baac8f67ee93e6d8e0a6077&o=&s=1","S$ 104","Bugis, Singapore","6.5","https://www.booking.com/hotel/sg/st-signature-dawn-bugis-beach.en-gb.html?label=singapore-WzGdqcC1K4*NWFxkuYSqNAS380872793965%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Akwd-307297810028%3Alp9062546%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&sid=aaf90ef021878f54ad97898b3e923abf&aid=1610687&ucfs=1&arphpl=1&checkin=2023-01-01&checkout=2023-01-02&dest_id=-73635&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=220&sr_order=popularity&nflt=ht_id%3D204%3Bht_id%3D203%3Bht_id%3D225&srpvid=3973637e0e9b002b&srepoch=1647871742&all_sr_blocks=642339303_261172044_2_0_0&highlighted_blocks=642339303_261172044_2_0_0&matching_block_id=642339303_261172044_2_0_0&sr_pri_blocks=642339303_261172044_2_0_0__10373&from=searchresults#hotelTmpl"
